TRAIN NUMBER,TRAIN NAME,Stations,DAYS,TRAIN TYPE
12267,MUMBAI CENTRAL - AHMEDABAD AC DURONTO EXP,"[""MUMBAI CENTRAL"",""AHMEDABAD JN"",""SURENDRANAGAR"",""RAJKOT JN""]","M,T,W,T,F,S,S",DURONTO
12268,AHMEDABAD - MUMBAI CENT AC DURONTO EXP,"[""RAJKOT JN"",""SURENDRANAGAR"",""AHMEDABAD JN"",""MUMBAI CENTRAL""]","M,T,W,T,F,S,S",DURONTO
22201,KOLKATA SEALDAH - PURI DURONTO EXPRESS,"[""KOLKATA SEALDAH"",""KHARAGPUR JN"",""PURI""]","M,W,F",DURONTO
22204,SECUNDERABAD - VISAKHAPATNAM AC DURONTO EXPRESS,"[""SECUNDERABAD JN"",""VIJAYAWADA JN"",""VISAKHAPATNAM""]","M,W,S",DURONTO
22206,MADURAI - CHENNAI CENTRAL AC DURONTO EXPRESS,"[""MADURAI JN"",""SALEM JN"",""MGR CHENNAI CENTRAL""]","TUE,THU",DURONTO
12426,JAMMU TAWI - NEW DELHI RAJDHANI EXPRESS,"[""JAMMU TAWI"",""KATHUA"",""PATHANKOT CANTT"",""LUDHIANA JN"",""DELHI CANTT""]","M,T,W,T,F,S,S",RAJDHANI
12430,NEW DELHI - LUCKNOW AC SF EXPRESS,"[""DELHI CANTT"",""GHAZIABAD"",""MORADABAD"",""BAREILLY"",""SHAHJEHANPUR"",""LUCKNOW""]","M,T,F,S",RAJDHANI
12437,SECUNDERABAD - HAZRAT NIZAMUDDIN RAJDHANI EXPRESS,"[""SECUNDERABAD JN"",""KAZIPET JN"",""BALHARSHAH"",""NAGPUR"",""BHOPAL JN"",""JHANSI JN"",""HAZRAT NIZAMUDDIN""]",WED,RAJDHANI
12951,MUMBAI CENTRAL - NEW DELHI RAJDHANI EXPRESS,"[""MUMBAI CENTRAL"",""BORIVALI"",""SURAT "",""VADODARA JN"",""RATLAM JN"",""NAGDA JN"",""KOTA JN"",""DELHI CANTT""]","M,T,W,T,F,S,S",RAJDHANI
12953,MUMBAI CENT - HAZRAT NIZAMUDDIN AUGUST KRANTI RAJ EXP,"[""MUMBAI CENTRAL"",""ANDHERI"",""BORIVALI"",""VAPI"",""VALSAD"",""SURAT"",""BHARUCH JN"",""VADODARA JN"",""DAHOD"",""RATLAM JN"",""KOTA JN"",""SAWAI MADHOPUR"",""MATHURA JN"",""HAZRAT NIZAMUDDIN""]","M,T,W,T,F,S,S",RAJDHANI
12019,HOWRAH - RANCHI SHATABDI EXPRESS,"[""HOWRAH JN"",""DURGAPUR"",""RANIGANJ"",""ASANSOL JN"",""DHANBAD JN"",""CHANDRAPURA"",""BOKARO STEEL CITY"",""MURI"",""RANCHI""]","M,T,W,T,F,S",SHATABDI
12038,LUDHIANA - NEW DELHI SHATABDI EXPRESS,"[""LUDHIANA JN "",""DHURI JN "",""SANGRUR"",""TOHANA"",""JIND JN"",""ROHTAK JN"",""DELHI CANTT""]","T,W,T,F,S",SHATABDI
12048,FIROZPUR - NEW DELHI SHATABDI EXPRESS,"[""FIROZPUR CANT"",""FARIDKOT"",""KOT KAPUR"",""BATHINDA JN"",""MANSA"",""JAKHAL JN"",""TOHANA"",""JIND JN"",""ROHTAK JN"",""DELHI CANTT""]","M,S",SHATABDI
12049,AGRA CANTT - DELHI H NIZAMUDDIN GATIMAAN EXPRESS,"[""JHANSI JN"",""GWALIOR JN"",""AGRA CANTT"",""HAZRAT NIZAMUDDIN""]","M,T,W,T,S,S",SHATABDI
12050,DELHI H NIZAMUDDIN - AGRA CANTT GATIMAAN EXPRESS,"[""HAZRAT NIZAMUDDIN"",""AGRA CANTT"",""GWALIOR JN"",""JHANSI JN""]","M,T,W,T,S,S",SHATABDI
11077,PUNE - JAMMU TAWI JHELUM EXPRESS,"[""PUNE JN"",""URULI"",""DAUND JN"",""AHMADNAGAR"",""BELAPUR"",""KOPARGAON"",""MANMAD JN"",""NANDGAON""]","M,T,W,T,F,S,S",MAIL EXPRESS
12138,FIROZPUR CANTT - MUMBAI CST PUNJAB MAIL SF EXP,"[""FIROZPUR CANT"",""FARIDKOT"",""KOT KAPURA"",""GANGSAR JAITU"",""GONEANA"",""BATHINDA JN""]","M,T,W,T,F,S,S",SUPERFAST
12295,BANGALORE CITY - DANAPUR SANGHAMITRA SF EXP,"[""BANGALORE CY JN "",""BANGALORE CANTT"",""KRISHNARAJAPURAM"",""BANGARAPET"",""KUPPAM"",""JOLARPETTAI"",""KATPADI JN"",""ARAKKONAM"",""MGR CHENNAI CENTRAL"",""GUDUR JN"",""NELLORE"",""ONGOLE"",""VIJAYAWADA JN"",""WARANGAL"",""RAMAGUNDAM"",""SIRPUR KAGAZNAGAR"",""SIRPUR KAGAZNAGARCHANDRAPUR"",""SEVAGRAM"",""NAGPUR"",""PANDHURNA"",""BETUL"",""GHORADONGRI"",""ITARSI JN"",""PIPARIYA"",""NARSINGHPUR"",""JABALPUR"",""KATNI"",""MAIHAR"",""SATNA"",""PRAYAGRAJ CHHEOKI JN"",""MIRZAPUR"",""PT DEEN DAYAL UPADHYAYA JN"",""BUXAR"",""ARA"",""DANAPUR""]","M,T,W,T,F,S,S",SUPERFAST
12307,HOWRAH - JODHPUR SF EXPRESS,"[""HOWRAH JN"",""BARDDHAMAN JN"",""ASANSOL JN"",""DHANBAD JNPARASNATH"",""KODERMA"",""GAYA JN"",""ANUGRAHA NARAYAN ROAD"",""DEHRI ON SONE"",""SASARAM"",""BHABUA ROAD"",""PT DEEN DAYAL UPADHYAYA JN"",""PRAYAGRAJ JN"",""FATEHPUR"",""KANPUR CENTRAL"",""ETAWAH"",""TUNDLA JN"",""AGRA FORT"",""ACHHNERA JN"",""BHARATPUR JN"",""JAIPUR"",""NAWA CITY"",""KUCHAMAN CITY"",""MAKRANA JN"",""DEGANA JN"",""MERTA ROAD JN"",""JODHPUR JN""]","M,T,W,T,F,S,S",SUPERFAST
12424,NEW DELHI - DIBRUGARH TOWN RAJDHANI EXPRESS,"[""DELHI CANTT"",""KANPUR CENTRAL"",""PRAYAGRAJ JN"",""PT DEEN DAYAL UPADHYAYA JN"",""DANAPUR"",""PATLIPUTRA"",""BARAUNI JN"",""NAUGACHIA"",""KATIHAR JNKISHANGANJ"",""NEW JALPAIGURI"",""NEW COOCH BEHAR"",""KOKRAJHAR"",""NEW BONGAIGAON"",""GUWAHATI"",""CHAPARMUKH JN"",""LUMDING JN"",""DIPHU"",""DIMAPUR"",""MARIANI JN"",""NEW TINSUKIA JN"",""DIBRUGARH TOWN""]","M,T,W,T,F,S,S",RAJDHANI
12506,DELHI ANAND VIHAR - GUWAHATI NORTH EAST EXPRESS,"[""ANAND VIHAR TRM"",""ALIGARH JN"",""TUNDLA JN"",""ETAWAH"",""KANPUR CENTRAL"",""FATEHPUR"",""PRAYAGRAJ JN"",""PT DEEN DAYAL UPADHYAYA JN"",""BUXARARA"",""DANAPUR"",""PATLIPUTRA"",""BARAUNI JN"",""BEGU SARAI"",""KHAGARIA JN"",""MANSI JN"",""NAUGACHIA"",""KATIHAR JN"",""BARSOI JN"",""KISHANGANJ"",""NEW JALPAIGURI"",""JALPAIGURI ROAD"",""NEW COOCH BEHAR"",""NEW ALIPURDUAR"",""KOKRAJHAR"",""NEW BONGAIGAON"",""BARPETA ROAD"",""RANGIYA JN"",""KAMAKHYA""]","M,T,W,T,F,S,S",SUPERFAST
12801,PURI - NEW DELHI PURUSHOTTAM SF EXPRESS,"[""PURI"",""KHURDA ROAD JN"",""BHUBANESWAR"",""CUTTACK"",""JAJPUR KEONJHAR ROAD"",""BHADRAKH"",""BALASORE"",""HIJILLI"",""GHATSILA"",""TATANAGAR JN"",""CHANDIL JN"",""PURULIA JN"",""BOKARO STEEL CITY"",""CHANDRAPURA"",""GOMOH JN"",""PARASNATH"",""HAZARIBAGH ROAD"",""KODERMA"",""PAHARPUR"",""GAYA JN"",""ANUGRAHA NARAYAN ROAD"",""DEHRI ON SONE"",""SASARAM"",""BHABUA ROAD"",""PT DEEN DAYAL UPADHYAYA JNCHUNAR"",""MIRZAPURPRAYAGRAJ JN"",""FATEHPUR"",""KANPUR CENTRAL"",""GHAZIABAD"",""DELHI CANTT""]","M,T,W,T,F,S,S",SUPERFAST
12802,NEW DELHI - PURI PURUSHOTTAM SF EXPRESS,"[""DELHI CANTT"",""KANPUR CENTRAL"",""FATEHPUR"",""PRAYAGRAJ JN"",""MIRZAPUR"",""CHUNAR"",""PT DEEN DAYAL UPADHYAYA JN"",""BHABUA ROAD"",""SASARAM"",""DEHRI ON SONE"",""ANUGRAHA NARAYAN ROAD"",""GAYA JN"",""PAHARPUR"",""KODERMA"",""HAZARIBAGH ROAD"",""PARASNATH"",""GOMOH JN"",""CHANDRAPURA"",""BOKARO STEEL CITY"",""PURULIA JN"",""CHANDIL JN"",""TATANAGAR JN"",""GHATSILA"",""HIJILLI"",""BALASORE"",""BHADRAKH"",""JAJPUR KEONJHAR ROAD"",""CUTTACK"",""BHUBANESWAR"",""KHURDA ROAD JN"",""PURI""]                                                                                                                                     ","M,T,W,T,F,S,S",SUPERFAST
12859,MUMBAI CST - HOWRAH GITANJALI SF EXPRESS,"[""MUMBAI CSMT"",""MUMBAI DADAR CENTRAL"",""KALYAN JN"",""IGATPURI"",""NASIK ROAD"",""JALGAON JN"",""BHUSAVAL JN"",""MALKAPUR"",""SHEGAON"",""AKOLA JN"",""BADNERA JN"",""WARDHA JN"",""NAGPUR,BHANDARA ROAD"",""GONDIA JN"",""RAJ NANDGAON"",""DURG"",""RAIPUR JN"",""BILASPUR JN"",""RAIGARH"",""JHARSUGUDA JN"",""ROURKELA"",""CHAKRADHARPUR"",""TATANAGAR JN"",""KHARAGPUR JN"",""SANTRAGACHI JN"",""HOWRAH JN""]","M,T,W,T,F,S,S",SUPERFAST
12864,YESVANTPUR - HOWRAH SF EXPRESS,"[""YESVANTPUR JN"",""BANASWADI"",""KRISHNARAJAPURAM"",""BANGARAPET"",""KUPPAM"",""JOLARPETTAI"",""KATPADI JN"",""TIRUPATI MAIN"",""RENIGUNTA JN"",""GUDUR JN"",""NELLORE"",""ONGOLE"",""CHIRALA"",""BAPATLA"",""TENALI JN"",""VIJAYAWADA JN"",""ELURU"",""TADEPALLIGUDEM"",""RAJAMUNDRY"",""SAMALKOT JN"",""VISAKHAPATNAM"",""VIZIANAGRAM JN"",""SRIKAKULAM ROAD"",""PALASA"",
""BRAHMAPUR"",""BALUGAON"",""KHURDA ROAD JN"",""BHUBANESWAR"",""CUTTACK"",""JAJPUR KEONJHAR ROAD"",""BHADRAKH"",""BALASORE"",""KHARAGPUR JN"",""MECHEDA"",""SANTRAGACHI JN"",""HOWRAH JN""]","M,T,W,T,F,S,S",SUPERFAST
12066,DELHI SARAI ROHILLA-AJMER JUNCTION,"[""DELHI SARAI ROHILLA"",""DELHI CANTT"",""GURGAON"",""REWARI JN"",""NARNAUL"",""NIM KA THANA"",""RINGAS JN"",""PHULERA JN"",""KISHANGARH"",""AJMER JN""]","M,T,W,F,S",SUPERFAST
